"","idno","cntry","nwspol","netusoft","netustm","ppltrst","pplfair","psppsgva","cptppola","trstprl","trstlgl","trstsci","vote","happy","wkhtot","agepnt","gndr","region"
"1",10055,"BE",150,5,120,6,8,3,3,6,8,9,"Not eligble",8,42,90,"Male","BE33"
"2",10077,"BE",10,5,120,4,4,2,3,5,5,6,"No",6,39,65,"Female","BE23"
"3",10088,"BE",60,5,10,6,4,3,1,3,5,7,"Yes",7,45,79,"Male","BE25"
"4",10089,"BE",90,5,180,7,8,4,3,8,9,7,"Yes",9,45,62,"Male","BE33"
"5",10133,"BE",0,5,300,4,6,1,2,6,7,8,"No",8,28,44,"Female","BE32"
"6",10145,"BE",120,5,60,7,7,3,2,5,5,9,"Yes",8,38,89,"Male","BE25"
"7",10156,"BE",45,5,300,8,8,3,3,9,9,10,"Not eligble",9,8,56,"Male","BE21"
"8",10220,"BE",30,5,120,5,5,4,2,5,6,5,"Yes",6,43,75,"Male","BE35"
"9",10249,"BE",20,5,10,7,7,4,2,7,8,10,"Yes",9,40,63,"Female","BE25"
"10",10271,"BE",10,5,240,4,4,2,2,4,5,6,"Not eligble",9,38,49,"Male","BE21"
"11",10283,"BE",13,5,9,6,6,2,2,0,5,9,"No",9,40,51,"Male","BE25"
"12",10297,"BE",90,5,8,6,7,2,3,5,7,8,"Yes",8,37,69,"Male","BE24"
"13",10394,"BE",0,5,180,5,5,4,3,5,5,6,"Not eligble",8,11,49,"Female","BE31"
"14",10398,"BE",15,5,300,6,7,2,2,2,7,7,"No",8,38,71,"Female","BE23"
"15",10442,"BE",120,5,150,6,7,2,3,6,7,8,"Yes",7,40,75,"Male","BE31"
"16",10460,"BE",120,5,8,7,8,3,3,8,7,9,"Yes",9,40,67,"Female","BE24"
"17",10484,"BE",30,5,180,7,7,3,2,7,7,8,"Yes",7,45,54,"Female","BE21"
"18",10516,"BE",30,5,120,3,3,1,1,5,5,6,"No",10,50,81,"Male","BE33"
"19",10557,"BE",1,5,6,6,5,1,1,3,7,8,"Yes",10,60,55,"Male","BE23"
"20",10567,"BE",90,5,10,8,8,3,4,7,5,9,"Yes",10,70,68,"Male","BE24"
"21",10603,"BE",30,5,180,6,9,4,2,7,6,8,"No",10,38,48,"Male","BE23"
"22",10611,"BE",30,4,60,5,5,2,2,5,6,6,"Yes",8,38,67,"Male","BE32"
"23",10644,"BE",60,5,120,6,7,1,1,6,7,7,"Yes",5,45,67,"Female","BE10"
"24",10680,"BE",30,5,10,5,5,5,1,8,8,9,"Yes",9,50,65,"Male","BE24"
"25",10684,"BE",30,5,60,8,8,2,4,3,7,9,"Yes",8,42,81,"Male","BE21"
"26",10706,"BE",30,5,120,6,7,3,1,5,6,7,"Yes",8,39,62,"Female","BE24"
"27",10793,"BE",15,5,120,3,5,1,1,5,6,8,"Yes",10,34,82,"Female","BE25"
"28",10827,"BE",30,5,60,7,7,3,2,6,6,7,"Yes",7,35,63,"Male","BE23"
"29",10838,"BE",0,5,270,6,7,3,1,5,7,7,"Yes",10,9,53,"Male","BE33"
"30",10858,"BE",30,5,8,8,8,2,3,5,9,10,"Yes",8,41,62,"Male","BE23"
"31",10892,"BE",20,5,7,5,5,2,1,2,8,8,"Yes",9,33,55,"Female","BE21"
"32",10984,"BE",5,5,300,4,4,4,1,0,8,9,"No",8,50,82,"Male","BE21"
"33",11026,"BE",10,4,15,6,7,3,1,7,7,7,"Yes",8,60,79,"Male","BE21"
"34",11039,"BE",30,5,10,9,9,3,3,7,7,10,"No",9,42,62,"Male","BE23"
"35",11045,"BE",30,5,210,7,8,3,1,4,7,6,"Yes",8,38,51,"Female","BE25"
"36",11112,"BE",60,5,8,6,8,3,2,5,7,9,"Yes",9,30,72,"Male","BE22"
"37",11174,"BE",60,5,120,1,5,2,3,5,1,8,"Yes",5,37,69,"Male","BE32"
"38",11175,"BE",10,5,8,4,5,2,4,2,3,10,"Yes",8,65,69,"Male","BE24"
